Barcodes	group	x
LK.CD34..64	Myelocyte	9
LK.CD34..56	Myelocyte	9
LK.CD34..26	Myelocyte	9
LK.CD34..17	Myelocyte	9
LK.CD34..52	Myelocyte	9
LK.CD34..32	Myelocyte	9
LK.CD34..62	Myelocyte	9
LK.CD34..34	Myelocyte	9
LK.CD34..40	Myelocyte	9
LK.CD34..10	Myelocyte	9
LK.CD34..59	Myelocyte	9
